Predefined Topic,Keyword,Count
Background / Antecedentes,familia,1047
Background / Antecedentes,hermanos,443
Background / Antecedentes,padres,152
Background / Antecedentes,nacido,49
Background / Antecedentes,infancia,31
Background / Antecedentes,family,30
Background / Antecedentes,educación,25
Background / Antecedentes,origen,18
Background / Antecedentes,born,17
Background / Antecedentes,parents,12
Background / Antecedentes,grew up,7
Background / Antecedentes,lugar de nacimiento,5
Background / Antecedentes,education,3
Background / Antecedentes,origin,2
Background / Antecedentes,pueblo natal,2
Challenges and Discrimination / Discriminación y dificultades,problemas,253
Challenges and Discrimination / Discriminación y dificultades,lucha,69
Challenges and Discrimination / Discriminación y dificultades,discriminación,68
Challenges and Discrimination / Discriminación y dificultades,racismo,14
Challenges and Discrimination / Discriminación y dificultades,dificultades,13
Challenges and Discrimination / Discriminación y dificultades,discrimination,2
Challenges and Discrimination / Discriminación y dificultades,exploitation,2
Challenges and Discrimination / Discriminación y dificultades,difficulties,1
Challenges and Discrimination / Discriminación y dificultades,retos,1
Labor Experiences / Experiencias laborales,algodón,983
Labor Experiences / Experiencias laborales,horas,693
Labor Experiences / Experiencias laborales,campos,265
Labor Experiences / Experiencias laborales,betabel,214
Labor Experiences / Experiencias laborales,labor,208
Labor Experiences / Experiencias laborales,labor,208
Labor Experiences / Experiencias laborales,trabajó,204
Labor Experiences / Experiencias laborales,agricultura,144
Labor Experiences / Experiencias laborales,cotton,123
Labor Experiences / Experiencias laborales,worked,86
Labor Experiences / Experiencias laborales,apio,75
Labor Experiences / Experiencias laborales,job,56
Labor Experiences / Experiencias laborales,fields,29
Labor Experiences / Experiencias laborales,hours,24
Labor Experiences / Experiencias laborales,crops,16
Labor Experiences / Experiencias laborales,tomates,15
Labor Experiences / Experiencias laborales,empleo,14
Labor Experiences / Experiencias laborales,tareas,14
Labor Experiences / Experiencias laborales,agriculture,9
Labor Experiences / Experiencias laborales,cultivos,9
Labor Experiences / Experiencias laborales,tomatoes,5
Labor Experiences / Experiencias laborales,beets,4
Labor Experiences / Experiencias laborales,tasks,2
Labor Experiences / Experiencias laborales,celery,2
Labor Experiences / Experiencias laborales,soybeans,1
Living Conditions / Condiciones de vida,comida,939
Living Conditions / Condiciones de vida,cuarto,172
Living Conditions / Condiciones de vida,condiciones,54
Living Conditions / Condiciones de vida,alimentos,41
Living Conditions / Condiciones de vida,food,35
Living Conditions / Condiciones de vida,room,16
Living Conditions / Condiciones de vida,living,15
Living Conditions / Condiciones de vida,housing,13
Living Conditions / Condiciones de vida,rutina diaria,12
Living Conditions / Condiciones de vida,vivienda,9
Living Conditions / Condiciones de vida,quarters,5
Living Conditions / Condiciones de vida,meal,4
Living Conditions / Condiciones de vida,alojamiento,4
Living Conditions / Condiciones de vida,higiene,3
Living Conditions / Condiciones de vida,bunk,2
Living Conditions / Condiciones de vida,litera,2
Living Conditions / Condiciones de vida,accommodations,1
Migration Motivation / Motivación para migrar,contrato,1422
Migration Motivation / Motivación para migrar,migración,272
Migration Motivation / Motivación para migrar,programa bracero,206
Migration Motivation / Motivación para migrar,compadre,69
Migration Motivation / Motivación para migrar,bracero program,64
Migration Motivation / Motivación para migrar,contract,56
Migration Motivation / Motivación para migrar,pobreza,23
Migration Motivation / Motivación para migrar,godfather,3
Migration Motivation / Motivación para migrar,motivación,3
Migration Motivation / Motivación para migrar,poverty,2
Migration Motivation / Motivación para migrar,motivation,1
Return and Reflections / Retorno y reflexiones,regreso,80
Return and Reflections / Retorno y reflexiones,cambios,26
Return and Reflections / Retorno y reflexiones,vida después,20
Return and Reflections / Retorno y reflexiones,orgullo,20
Return and Reflections / Retorno y reflexiones,pensamientos,9
Return and Reflections / Retorno y reflexiones,return,8
Return and Reflections / Retorno y reflexiones,reflexión,6
Return and Reflections / Retorno y reflexiones,impacto,3
Return and Reflections / Retorno y reflexiones,pride,2
Return and Reflections / Retorno y reflexiones,impact,1
Violence / Violencia,guardia,13
Violence / Violencia,golpear,9
Violence / Violencia,abuso,8
Violence / Violencia,castigar,6
Violence / Violencia,golpeado,5
Violence / Violencia,beat,2
Violence / Violencia,violencia,2
Violence / Violencia,beaten,1
Violence / Violencia,abuse,1
Violence / Violencia,hit,1
Violence / Violencia,guard,1
